Eurostat_partner_code,Country_name,Forest_zone_short,EU,Continent_detail,Continent,VPA Status 2014,VPA_Status_2018
0478,Neth. Antilles,PRITROP,0,AMERICA - CC,AMERICA - SC,,
0474,Aruba,PRITROP,0,AMERICA - CC,AMERICA - SC,,
0473,Grenada,PRITROP,0,AMERICA - CC,AMERICA - SC,,
0472,Trin. & Tob.,PRITROP,0,AMERICA - CC,AMERICA - SC,,
0470,Montserrat,PRITROP,0,AMERICA - CC,AMERICA - SC,,
0469,Barbados,PRITROP,0,AMERICA - CC,AMERICA - SC,,
0660,Afghanistan,PRIARIDMNT,0,ASIA - SO,ASIA - OT,,
0492,Suriname,PRITROP,0,AMERICA - S,AMERICA - SC,,
0703,Brunei Dar.,PRITROP,0,ASIA - SE,ASIA - SE,,
0468,Br. Virg. Isds,PRITROP,0,AMERICA - CC,AMERICA - SC,,
0464,Jamaica,PRITROP,0,AMERICA - CC,AMERICA - SC,,
0463,Cayman Isds,PRITROP,0,AMERICA - CC,AMERICA - SC,,
0460,Dominica,PRITROP,0,AMERICA - CC,AMERICA - SC,,
0459,Antigua-Bar.,PRITROP,0,AMERICA - CC,AMERICA - SC,,
0457,US Virgin Is.,PRITROP,0,AMERICA - CC,AMERICA - SC,,
0456,Domin-Rep.,PRITROP,0,AMERICA - CC,AMERICA - SC,,
0454,Turks-Caicos,PRITROP,0,AMERICA - CC,AMERICA - SC,,
0453,Bahamas,PRITROP,0,AMERICA - CC,AMERICA - SC,,
0452,Haiti,PRITROP,0,AMERICA - CC,AMERICA - SC,,
0449,St Kitts-Nev,PRITROP,0,AMERICA - CC,AMERICA - SC,,
0448,Cuba,PRITROP,0,AMERICA - CC,AMERICA - SC,,
0467,St Vincent,PRITROP,0,AMERICA - CC,AMERICA - SC,,
0624,Israel,PRIARIDMNT,0,ASIA - ME,ASIA - OT,,
0653,Yemen,PRIARIDMNT,0,ASIA - ME,ASIA - OT,,
0649,Oman,PRIARIDMNT,0,ASIA - ME,ASIA - OT,,
0647,UAE,PRIARIDMNT,0,ASIA - ME,ASIA - OT,,
0644,Qatar,PRIARIDMNT,0,ASIA - ME,ASIA - OT,,
0640,Bahrain,PRIARIDMNT,0,ASIA - ME,ASIA - OT,,
0636,Kuwait,PRIARIDMNT,0,ASIA - ME,ASIA - OT,,
0632,Saudi Arabia,PRIARIDMNT,0,ASIA - ME,ASIA - OT,,
0628,Jordan,PRIARIDMNT,0,ASIA - ME,ASIA - OT,,
0626,Timor-Leste,PRITROP,0,ASIA - SE,ASIA - SE,,
0625,Gaza & Jer.,PRIARIDMNT,0,ASIA - ME,ASIA - OT,,
0616,Iran,PRIARIDMNT,0,ASIA - SO,ASIA - OT,,
0612,Iraq,PRIARIDMNT,0,ASIA - ME,ASIA - OT,,
0512,Chile,PRITEMP,0,AMERICA - S,AMERICA - SC,,
0500,Ecuador,PRITROP,0,AMERICA - S,AMERICA - SC,Pre-negotiations,
0504,Peru,PRITROP,0,AMERICA - S,AMERICA - SC,Pre-negotiations,
0508,Brazil,TROP&TEMP,0,AMERICA - S,AMERICA - SC,,
0608,Syria,PRIARIDMNT,0,ASIA - ME,ASIA - OT,,
0516,Bolivia,PRITROP,0,AMERICA - S,AMERICA - SC,Pre-negotiations,
0520,Paraguay,PRITROP,0,AMERICA - S,AMERICA - SC,,
0524,Uruguay,PRITEMP,0,AMERICA - S,AMERICA - SC,,
0528,Argentina,PRITEMP,0,AMERICA - S,AMERICA - SC,,
0604,Lebanon,PRIARIDMNT,0,ASIA - ME,ASIA - OT,,
0030,Sweden,PRITEMP,1,EUROPE - W,EUROPE - EU,,
0005,Italy,PRITEMP,1,EUROPE - W,EUROPE - EU,,
0006,UK,PRITEMP,1,EUROPE - W,EUROPE - EU,,
0007,Ireland,PRITEMP,1,EUROPE - W,EUROPE - EU,,
0008,Denmark,PRITEMP,1,EUROPE - W,EUROPE - EU,,
0009,Greece,PRITEMP,1,EUROPE - W,EUROPE - EU,,
0010,Portugal,PRITEMP,1,EUROPE - W,EUROPE - EU,,
0011,Spain,PRITEMP,1,EUROPE - W,EUROPE - EU,,
0017,Belgium,PRITEMP,1,EUROPE - W,EUROPE - EU,,
0018,Luxembrg.,PRITEMP,1,EUROPE - W,EUROPE - EU,,
0038,Austria,PRITEMP,1,EUROPE - W,EUROPE - EU,,
0004,Germany,PRITEMP,1,EUROPE - W,EUROPE - EU,,
0003,Netherlds.,PRITEMP,1,EUROPE - W,EUROPE - EU,,
0032,Finland,PRITEMP,1,EUROPE - W,EUROPE - EU,,
0001,France,PRITEMP,1,EUROPE - W,EUROPE - EU,,
0046,Malta,PRITEMP,2,EUROPE - W,EUROPE - EU,,
0064,Hungary,PRITEMP,2,EUROPE - E,EUROPE - EU,,
0063,Slovakia,PRITEMP,2,EUROPE - E,EUROPE - EU,,
0061,Czech Rep.,PRITEMP,2,EUROPE - E,EUROPE - EU,,
0060,Poland,PRITEMP,2,EUROPE - E,EUROPE - EU,,
0055,Lithuania,PRITEMP,2,EUROPE - E,EUROPE - EU,,
0054,Latvia,PRITEMP,2,EUROPE - E,EUROPE - EU,,
0600,Cyprus,PRITEMP,2,EUROPE - W,EUROPE - EU,,
0091,Slovenia,PRITEMP,2,EUROPE - E,EUROPE - EU,,
0053,Estonia,PRITEMP,2,EUROPE - E,EUROPE - EU,,
0066,Romania,PRITEMP,3,EUROPE - E,EUROPE - EU,,
0068,Bulgaria,PRITEMP,3,EUROPE - E,EUROPE - EU,,
0092,Croatia,PRITEMP,4,EUROPE - E,EUROPE - EU,,
,,,,,,,
,,,,,,,15
